model name is decoder 
queue 8.79  s, infer 42.24 s, input 1.17  s, output 1.38  s 
Batch_size 1 , 9794  times, infer 2783.26   ms, avg 0.28 ms, 0.28 ms input 100.80    ms, avg 0.01 ms, output 93.56     ms, avg 0.01 ms 
Batch_size 26, 2222  times, infer 489.02    ms, avg 0.22 ms, 0.01 ms input 22.61     ms, avg 0.01 ms, output 29.78     ms, avg 0.01 ms 
Batch_size 27, 1096  times, infer 431.74    ms, avg 0.39 ms, 0.01 ms input 11.72     ms, avg 0.01 ms, output 14.86     ms, avg 0.01 ms 
Batch_size 28, 668   times, infer 203.51    ms, avg 0.30 ms, 0.01 ms input 6.94      ms, avg 0.01 ms, output 9.52      ms, avg 0.01 ms 
Batch_size 29, 1225  times, infer 456.98    ms, avg 0.37 ms, 0.01 ms input 13.69     ms, avg 0.01 ms, output 17.56     ms, avg 0.01 ms 
Batch_size 30, 2101  times, infer 739.05    ms, avg 0.35 ms, 0.01 ms input 21.56     ms, avg 0.01 ms, output 30.03     ms, avg 0.01 ms 
Batch_size 31, 951   times, infer 277.85    ms, avg 0.29 ms, 0.01 ms input 10.72     ms, avg 0.01 ms, output 13.90     ms, avg 0.01 ms 
Batch_size 32, 852   times, infer 303.95    ms, avg 0.36 ms, 0.01 ms input 8.67      ms, avg 0.01 ms, output 12.12     ms, avg 0.01 ms 
Batch_size 33, 816   times, infer 248.24    ms, avg 0.30 ms, 0.01 ms input 8.42      ms, avg 0.01 ms, output 11.55     ms, avg 0.01 ms 
Batch_size 34, 413   times, infer 178.65    ms, avg 0.43 ms, 0.01 ms input 5.44      ms, avg 0.01 ms, output 6.76      ms, avg 0.02 ms 
Batch_size 35, 1377  times, infer 461.13    ms, avg 0.33 ms, 0.01 ms input 22.24     ms, avg 0.02 ms, output 21.01     ms, avg 0.02 ms 
Batch_size 36, 1032  times, infer 331.38    ms, avg 0.32 ms, 0.01 ms input 11.59     ms, avg 0.01 ms, output 16.03     ms, avg 0.02 ms 
Batch_size 37, 966   times, infer 490.12    ms, avg 0.51 ms, 0.01 ms input 10.80     ms, avg 0.01 ms, output 15.19     ms, avg 0.02 ms 
Batch_size 38, 2367  times, infer 759.47    ms, avg 0.32 ms, 0.01 ms input 25.35     ms, avg 0.01 ms, output 37.74     ms, avg 0.02 ms 
Batch_size 39, 1333  times, infer 575.23    ms, avg 0.43 ms, 0.01 ms input 14.70     ms, avg 0.01 ms, output 21.23     ms, avg 0.02 ms 
Batch_size 40, 713   times, infer 208.43    ms, avg 0.29 ms, 0.01 ms input 7.75      ms, avg 0.01 ms, output 11.11     ms, avg 0.02 ms 
Batch_size 41, 1121  times, infer 394.92    ms, avg 0.35 ms, 0.01 ms input 11.95     ms, avg 0.01 ms, output 18.03     ms, avg 0.02 ms 
Batch_size 42, 322   times, infer 170.02    ms, avg 0.53 ms, 0.01 ms input 4.44      ms, avg 0.01 ms, output 5.47      ms, avg 0.02 ms 
Batch_size 43, 297   times, infer 224.69    ms, avg 0.76 ms, 0.02 ms input 3.23      ms, avg 0.01 ms, output 4.63      ms, avg 0.02 ms 
Batch_size 44, 736   times, infer 221.53    ms, avg 0.30 ms, 0.01 ms input 7.97      ms, avg 0.01 ms, output 13.33     ms, avg 0.02 ms 
Batch_size 45, 1071  times, infer 434.07    ms, avg 0.41 ms, 0.01 ms input 11.98     ms, avg 0.01 ms, output 17.86     ms, avg 0.02 ms 
Batch_size 46, 1059  times, infer 283.82    ms, avg 0.27 ms, 0.01 ms input 10.81     ms, avg 0.01 ms, output 18.44     ms, avg 0.02 ms 
Batch_size 47, 1283  times, infer 313.17    ms, avg 0.24 ms, 0.01 ms input 14.89     ms, avg 0.01 ms, output 24.29     ms, avg 0.02 ms 
Batch_size 48, 784   times, infer 244.21    ms, avg 0.31 ms, 0.01 ms input 11.15     ms, avg 0.01 ms, output 13.33     ms, avg 0.02 ms 
Batch_size 49, 237   times, infer 108.48    ms, avg 0.46 ms, 0.01 ms input 9.17      ms, avg 0.04 ms, output 4.23      ms, avg 0.02 ms 
Batch_size 50, 289   times, infer 177.06    ms, avg 0.61 ms, 0.01 ms input 4.70      ms, avg 0.02 ms, output 4.74      ms, avg 0.02 ms 
Batch_size 51, 438   times, infer 200.30    ms, avg 0.46 ms, 0.01 ms input 4.60      ms, avg 0.01 ms, output 7.50      ms, avg 0.02 ms 
Batch_size 52, 442   times, infer 124.55    ms, avg 0.28 ms, 0.01 ms input 4.70      ms, avg 0.01 ms, output 7.79      ms, avg 0.02 ms 
Batch_size 53, 470   times, infer 361.79    ms, avg 0.77 ms, 0.01 ms input 5.70      ms, avg 0.01 ms, output 8.70      ms, avg 0.02 ms 
Batch_size 54, 1253  times, infer 450.82    ms, avg 0.36 ms, 0.01 ms input 13.45     ms, avg 0.01 ms, output 22.08     ms, avg 0.02 ms 
Batch_size 55, 312   times, infer 189.69    ms, avg 0.61 ms, 0.01 ms input 3.32      ms, avg 0.01 ms, output 5.61      ms, avg 0.02 ms 
Batch_size 56, 186   times, infer 116.53    ms, avg 0.63 ms, 0.01 ms input 2.88      ms, avg 0.02 ms, output 3.36      ms, avg 0.02 ms 
Batch_size 57, 154   times, infer 117.71    ms, avg 0.76 ms, 0.01 ms input 1.80      ms, avg 0.01 ms, output 3.41      ms, avg 0.02 ms 
Batch_size 58, 622   times, infer 340.24    ms, avg 0.55 ms, 0.01 ms input 6.43      ms, avg 0.01 ms, output 10.95     ms, avg 0.02 ms 
Batch_size 59, 793   times, infer 411.57    ms, avg 0.52 ms, 0.01 ms input 8.92      ms, avg 0.01 ms, output 15.49     ms, avg 0.02 ms 
Batch_size 60, 174   times, infer 153.89    ms, avg 0.88 ms, 0.01 ms input 2.01      ms, avg 0.01 ms, output 3.57      ms, avg 0.02 ms 
Batch_size 61, 3     times, infer 74.35     ms, avg 24.78 ms, 0.41 ms input 0.87      ms, avg 0.29 ms, output 0.06      ms, avg 0.02 ms 
Batch_size 62, 6     times, infer 121.27    ms, avg 20.21 ms, 0.33 ms input 3.74      ms, avg 0.62 ms, output 0.13      ms, avg 0.02 ms 
Batch_size 63, 457   times, infer 233.83    ms, avg 0.51 ms, 0.01 ms input 5.08      ms, avg 0.01 ms, output 9.19      ms, avg 0.02 ms 
Batch_size 64, 183   times, infer 117.40    ms, avg 0.64 ms, 0.01 ms input 2.58      ms, avg 0.01 ms, output 3.35      ms, avg 0.02 ms 
Batch_size 65, 176   times, infer 168.58    ms, avg 0.96 ms, 0.01 ms input 5.19      ms, avg 0.03 ms, output 3.80      ms, avg 0.02 ms 
Batch_size 66, 164   times, infer 145.98    ms, avg 0.89 ms, 0.01 ms input 3.34      ms, avg 0.02 ms, output 3.34      ms, avg 0.02 ms 
Batch_size 67, 322   times, infer 238.20    ms, avg 0.74 ms, 0.01 ms input 5.94      ms, avg 0.02 ms, output 6.61      ms, avg 0.02 ms 
Batch_size 68, 486   times, infer 267.34    ms, avg 0.55 ms, 0.01 ms input 5.05      ms, avg 0.01 ms, output 9.92      ms, avg 0.02 ms 
Batch_size 70, 161   times, infer 172.04    ms, avg 1.07 ms, 0.02 ms input 4.77      ms, avg 0.03 ms, output 3.26      ms, avg 0.02 ms 
Batch_size 71, 162   times, infer 142.65    ms, avg 0.88 ms, 0.01 ms input 1.85      ms, avg 0.01 ms, output 3.49      ms, avg 0.02 ms 
Batch_size 72, 1     times, infer 50.81     ms, avg 50.81 ms, 0.71 ms input 0.06      ms, avg 0.06 ms, output 0.02      ms, avg 0.02 ms 
Batch_size 73, 165   times, infer 123.73    ms, avg 0.75 ms, 0.01 ms input 9.02      ms, avg 0.05 ms, output 3.41      ms, avg 0.02 ms 
Batch_size 74, 1     times, infer 50.95     ms, avg 50.95 ms, 0.69 ms input 0.04      ms, avg 0.04 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 75, 193   times, infer 156.82    ms, avg 0.81 ms, 0.01 ms input 4.52      ms, avg 0.02 ms, output 4.20      ms, avg 0.02 ms 
Batch_size 76, 483   times, infer 270.40    ms, avg 0.56 ms, 0.01 ms input 4.62      ms, avg 0.01 ms, output 10.30     ms, avg 0.02 ms 
Batch_size 77, 174   times, infer 151.02    ms, avg 0.87 ms, 0.01 ms input 4.18      ms, avg 0.02 ms, output 3.98      ms, avg 0.02 ms 
Batch_size 78, 346   times, infer 120.30    ms, avg 0.35 ms, 0.00 ms input 3.74      ms, avg 0.01 ms, output 7.78      ms, avg 0.02 ms 
Batch_size 79, 1     times, infer 63.97     ms, avg 63.97 ms, 0.81 ms input 0.03      ms, avg 0.03 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 80, 181   times, infer 133.02    ms, avg 0.73 ms, 0.01 ms input 1.94      ms, avg 0.01 ms, output 3.97      ms, avg 0.02 ms 
Batch_size 81, 681   times, infer 302.02    ms, avg 0.44 ms, 0.01 ms input 6.95      ms, avg 0.01 ms, output 15.30     ms, avg 0.02 ms 
Batch_size 82, 1004  times, infer 363.44    ms, avg 0.36 ms, 0.00 ms input 10.53     ms, avg 0.01 ms, output 22.60     ms, avg 0.02 ms 
Batch_size 83, 1     times, infer 65.50     ms, avg 65.50 ms, 0.79 ms input 0.05      ms, avg 0.05 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 84, 163   times, infer 149.23    ms, avg 0.92 ms, 0.01 ms input 1.85      ms, avg 0.01 ms, output 3.85      ms, avg 0.02 ms 
Batch_size 85, 3     times, infer 66.57     ms, avg 22.19 ms, 0.26 ms input 0.14      ms, avg 0.05 ms, output 0.07      ms, avg 0.02 ms 
Batch_size 87, 186   times, infer 137.62    ms, avg 0.74 ms, 0.01 ms input 2.22      ms, avg 0.01 ms, output 4.96      ms, avg 0.03 ms 
Batch_size 88, 1     times, infer 107.46    ms, avg 107.46 ms, 1.22 ms input 0.36      ms, avg 0.36 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 89, 7     times, infer 85.95     ms, avg 12.28 ms, 0.14 ms input 1.11      ms, avg 0.16 ms, output 0.18      ms, avg 0.03 ms 
Batch_size 90, 2     times, infer 82.88     ms, avg 41.44 ms, 0.46 ms input 0.45      ms, avg 0.23 ms, output 0.06      ms, avg 0.03 ms 
Batch_size 91, 5     times, infer 60.67     ms, avg 12.13 ms, 0.13 ms input 0.79      ms, avg 0.16 ms, output 0.12      ms, avg 0.02 ms 
Batch_size 92, 4     times, infer 61.13     ms, avg 15.28 ms, 0.17 ms input 0.25      ms, avg 0.06 ms, output 0.12      ms, avg 0.03 ms 
Batch_size 93, 186   times, infer 166.23    ms, avg 0.89 ms, 0.01 ms input 4.65      ms, avg 0.03 ms, output 4.28      ms, avg 0.02 ms 
Batch_size 94, 171   times, infer 150.42    ms, avg 0.88 ms, 0.01 ms input 1.80      ms, avg 0.01 ms, output 4.64      ms, avg 0.03 ms 
Batch_size 95, 338   times, infer 190.29    ms, avg 0.56 ms, 0.01 ms input 3.53      ms, avg 0.01 ms, output 8.21      ms, avg 0.02 ms 
Batch_size 96, 175   times, infer 117.23    ms, avg 0.67 ms, 0.01 ms input 3.84      ms, avg 0.02 ms, output 4.19      ms, avg 0.02 ms 
Batch_size 97, 2     times, infer 72.55     ms, avg 36.28 ms, 0.37 ms input 0.12      ms, avg 0.06 ms, output 0.07      ms, avg 0.04 ms 
Batch_size 98, 4     times, infer 93.54     ms, avg 23.38 ms, 0.24 ms input 0.21      ms, avg 0.05 ms, output 0.10      ms, avg 0.03 ms 
Batch_size 99, 163   times, infer 213.89    ms, avg 1.31 ms, 0.01 ms input 2.09      ms, avg 0.01 ms, output 4.17      ms, avg 0.03 ms 
Batch_size 100, 351   times, infer 188.15    ms, avg 0.54 ms, 0.01 ms input 4.52      ms, avg 0.01 ms, output 8.86      ms, avg 0.03 ms 
Batch_size 102, 1     times, infer 58.18     ms, avg 58.18 ms, 0.57 ms input 0.05      ms, avg 0.05 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 103, 180   times, infer 92.21     ms, avg 0.51 ms, 0.00 ms input 2.02      ms, avg 0.01 ms, output 5.09      ms, avg 0.03 ms 
Batch_size 105, 182   times, infer 84.89     ms, avg 0.47 ms, 0.00 ms input 2.10      ms, avg 0.01 ms, output 5.20      ms, avg 0.03 ms 
Batch_size 106, 5     times, infer 67.75     ms, avg 13.55 ms, 0.13 ms input 0.23      ms, avg 0.05 ms, output 0.15      ms, avg 0.03 ms 
Batch_size 107, 2     times, infer 75.21     ms, avg 37.61 ms, 0.35 ms input 0.09      ms, avg 0.05 ms, output 0.06      ms, avg 0.03 ms 
Batch_size 108, 357   times, infer 203.00    ms, avg 0.57 ms, 0.01 ms input 3.80      ms, avg 0.01 ms, output 10.24     ms, avg 0.03 ms 
Batch_size 110, 2     times, infer 65.76     ms, avg 32.88 ms, 0.30 ms input 0.43      ms, avg 0.22 ms, output 0.08      ms, avg 0.04 ms 
Batch_size 113, 183   times, infer 108.15    ms, avg 0.59 ms, 0.01 ms input 2.23      ms, avg 0.01 ms, output 5.07      ms, avg 0.03 ms 
Batch_size 115, 335   times, infer 156.95    ms, avg 0.47 ms, 0.00 ms input 3.14      ms, avg 0.01 ms, output 9.23      ms, avg 0.03 ms 
Batch_size 116, 185   times, infer 109.18    ms, avg 0.59 ms, 0.01 ms input 2.12      ms, avg 0.01 ms, output 5.27      ms, avg 0.03 ms 
Batch_size 117, 169   times, infer 95.80     ms, avg 0.57 ms, 0.00 ms input 1.81      ms, avg 0.01 ms, output 5.16      ms, avg 0.03 ms 
Batch_size 118, 1     times, infer 36.46     ms, avg 36.46 ms, 0.31 ms input 0.06      ms, avg 0.06 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 119, 173   times, infer 145.92    ms, avg 0.84 ms, 0.01 ms input 1.71      ms, avg 0.01 ms, output 4.98      ms, avg 0.03 ms 
Batch_size 120, 3     times, infer 66.70     ms, avg 22.23 ms, 0.19 ms input 2.47      ms, avg 0.82 ms, output 0.08      ms, avg 0.03 ms 
Batch_size 121, 173   times, infer 70.27     ms, avg 0.41 ms, 0.00 ms input 2.65      ms, avg 0.02 ms, output 5.25      ms, avg 0.03 ms 
Batch_size 122, 354   times, infer 155.15    ms, avg 0.44 ms, 0.00 ms input 3.73      ms, avg 0.01 ms, output 11.08     ms, avg 0.03 ms 
Batch_size 123, 1     times, infer 79.42     ms, avg 79.42 ms, 0.65 ms input 0.07      ms, avg 0.07 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 124, 1     times, infer 41.80     ms, avg 41.80 ms, 0.34 ms input 0.06      ms, avg 0.06 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 125, 176   times, infer 146.07    ms, avg 0.83 ms, 0.01 ms input 1.75      ms, avg 0.01 ms, output 4.95      ms, avg 0.03 ms 
Batch_size 126, 1     times, infer 57.12     ms, avg 57.12 ms, 0.45 ms input 0.05      ms, avg 0.05 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 127, 4     times, infer 84.95     ms, avg 21.24 ms, 0.17 ms input 0.23      ms, avg 0.06 ms, output 0.14      ms, avg 0.04 ms 
Batch_size 130, 176   times, infer 154.91    ms, avg 0.88 ms, 0.01 ms input 1.97      ms, avg 0.01 ms, output 5.88      ms, avg 0.03 ms 
Batch_size 133, 5     times, infer 33.64     ms, avg 6.73 ms, 0.05 ms input 0.23      ms, avg 0.05 ms, output 0.15      ms, avg 0.03 ms 
Batch_size 134, 182   times, infer 127.67    ms, avg 0.70 ms, 0.01 ms input 2.29      ms, avg 0.01 ms, output 6.48      ms, avg 0.04 ms 
Batch_size 135, 190   times, infer 116.37    ms, avg 0.61 ms, 0.00 ms input 1.97      ms, avg 0.01 ms, output 5.90      ms, avg 0.03 ms 
Batch_size 136, 3     times, infer 35.96     ms, avg 11.99 ms, 0.09 ms input 0.16      ms, avg 0.05 ms, output 0.11      ms, avg 0.04 ms 
Batch_size 137, 180   times, infer 96.50     ms, avg 0.54 ms, 0.00 ms input 1.92      ms, avg 0.01 ms, output 5.48      ms, avg 0.03 ms 
Batch_size 138, 3     times, infer 61.85     ms, avg 20.62 ms, 0.15 ms input 0.12      ms, avg 0.04 ms, output 0.10      ms, avg 0.03 ms 
Batch_size 140, 5     times, infer 32.58     ms, avg 6.52 ms, 0.05 ms input 0.26      ms, avg 0.05 ms, output 0.16      ms, avg 0.03 ms 
Batch_size 141, 189   times, infer 107.99    ms, avg 0.57 ms, 0.00 ms input 1.78      ms, avg 0.01 ms, output 5.74      ms, avg 0.03 ms 
Batch_size 142, 186   times, infer 168.67    ms, avg 0.91 ms, 0.01 ms input 1.86      ms, avg 0.01 ms, output 5.84      ms, avg 0.03 ms 
Batch_size 144, 5     times, infer 78.49     ms, avg 15.70 ms, 0.11 ms input 0.81      ms, avg 0.16 ms, output 0.18      ms, avg 0.04 ms 
Batch_size 145, 179   times, infer 114.72    ms, avg 0.64 ms, 0.00 ms input 1.86      ms, avg 0.01 ms, output 5.81      ms, avg 0.03 ms 
Batch_size 146, 5     times, infer 63.35     ms, avg 12.67 ms, 0.09 ms input 0.32      ms, avg 0.06 ms, output 0.19      ms, avg 0.04 ms 
Batch_size 147, 360   times, infer 212.81    ms, avg 0.59 ms, 0.00 ms input 3.75      ms, avg 0.01 ms, output 12.63     ms, avg 0.04 ms 
Batch_size 149, 383   times, infer 193.23    ms, avg 0.50 ms, 0.00 ms input 3.73      ms, avg 0.01 ms, output 12.46     ms, avg 0.03 ms 
Batch_size 151, 178   times, infer 146.21    ms, avg 0.82 ms, 0.01 ms input 1.71      ms, avg 0.01 ms, output 5.83      ms, avg 0.03 ms 
Batch_size 152, 2     times, infer 69.69     ms, avg 34.84 ms, 0.23 ms input 0.11      ms, avg 0.06 ms, output 0.08      ms, avg 0.04 ms 
Batch_size 153, 4     times, infer 96.41     ms, avg 24.10 ms, 0.16 ms input 0.49      ms, avg 0.12 ms, output 0.16      ms, avg 0.04 ms 
Batch_size 154, 2     times, infer 33.65     ms, avg 16.82 ms, 0.11 ms input 0.10      ms, avg 0.05 ms, output 0.07      ms, avg 0.04 ms 
Batch_size 155, 4     times, infer 66.07     ms, avg 16.52 ms, 0.11 ms input 0.25      ms, avg 0.06 ms, output 0.14      ms, avg 0.04 ms 
Batch_size 157, 3     times, infer 53.27     ms, avg 17.76 ms, 0.11 ms input 0.16      ms, avg 0.05 ms, output 0.11      ms, avg 0.04 ms 
Batch_size 160, 186   times, infer 106.27    ms, avg 0.57 ms, 0.00 ms input 1.92      ms, avg 0.01 ms, output 6.59      ms, avg 0.04 ms 
Batch_size 163, 2     times, infer 32.82     ms, avg 16.41 ms, 0.10 ms input 0.09      ms, avg 0.05 ms, output 0.08      ms, avg 0.04 ms 
Batch_size 168, 1     times, infer 31.15     ms, avg 31.15 ms, 0.19 ms input 0.04      ms, avg 0.04 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 169, 360   times, infer 122.02    ms, avg 0.34 ms, 0.00 ms input 3.35      ms, avg 0.01 ms, output 12.59     ms, avg 0.03 ms 
Batch_size 170, 2     times, infer 42.83     ms, avg 21.41 ms, 0.13 ms input 0.10      ms, avg 0.05 ms, output 0.08      ms, avg 0.04 ms 
Batch_size 173, 174   times, infer 197.37    ms, avg 1.13 ms, 0.01 ms input 1.81      ms, avg 0.01 ms, output 7.13      ms, avg 0.04 ms 
Batch_size 175, 4     times, infer 69.15     ms, avg 17.29 ms, 0.10 ms input 0.19      ms, avg 0.05 ms, output 0.14      ms, avg 0.04 ms 
Batch_size 181, 185   times, infer 128.50    ms, avg 0.69 ms, 0.00 ms input 1.96      ms, avg 0.01 ms, output 7.59      ms, avg 0.04 ms 
Batch_size 182, 182   times, infer 93.87     ms, avg 0.52 ms, 0.00 ms input 1.98      ms, avg 0.01 ms, output 7.70      ms, avg 0.04 ms 
Batch_size 186, 1     times, infer 47.04     ms, avg 47.04 ms, 0.25 ms input 0.13      ms, avg 0.13 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 189, 2     times, infer 40.27     ms, avg 20.14 ms, 0.11 ms input 0.12      ms, avg 0.06 ms, output 0.09      ms, avg 0.04 ms 
Batch_size 195, 1     times, infer 32.01     ms, avg 32.01 ms, 0.16 ms input 0.05      ms, avg 0.05 ms, output 0.06      ms, avg 0.06 ms 
Batch_size 198, 2     times, infer 42.03     ms, avg 21.02 ms, 0.11 ms input 0.11      ms, avg 0.06 ms, output 0.09      ms, avg 0.04 ms 
Batch_size 199, 18    times, infer 36.26     ms, avg 2.01 ms, 0.01 ms input 0.94      ms, avg 0.05 ms, output 0.84      ms, avg 0.05 ms 
model name is encoder 
queue 2908.18 s, infer 11604.45 s, input 50.84 s, output 46.39 s 
Batch_size 1 , 1638  times, infer 67193.36  ms, avg 41.02 ms, 41.02 ms input 889.78    ms, avg 0.54 ms, output 2148.84   ms, avg 1.31 ms 
Batch_size 2 , 368   times, infer 22165.61  ms, avg 60.23 ms, 30.12 ms input 749.09    ms, avg 2.04 ms, output 533.84    ms, avg 1.45 ms 
Batch_size 3 , 110   times, infer 6553.44   ms, avg 59.58 ms, 19.86 ms input 26.55     ms, avg 0.24 ms, output 189.49    ms, avg 1.72 ms 
Batch_size 4 , 82    times, infer 5850.67   ms, avg 71.35 ms, 17.84 ms input 92.53     ms, avg 1.13 ms, output 153.66    ms, avg 1.87 ms 
Batch_size 5 , 61    times, infer 4792.69   ms, avg 78.57 ms, 15.71 ms input 35.78     ms, avg 0.59 ms, output 61.65     ms, avg 1.01 ms 
Batch_size 6 , 57    times, infer 4926.62   ms, avg 86.43 ms, 14.41 ms input 35.35     ms, avg 0.62 ms, output 111.49    ms, avg 1.96 ms 
Batch_size 7 , 58    times, infer 5236.98   ms, avg 90.29 ms, 12.90 ms input 77.04     ms, avg 1.33 ms, output 156.46    ms, avg 2.70 ms 
Batch_size 8 , 55    times, infer 5173.46   ms, avg 94.06 ms, 11.76 ms input 57.66     ms, avg 1.05 ms, output 93.41     ms, avg 1.70 ms 
Batch_size 9 , 63    times, infer 5809.46   ms, avg 92.21 ms, 10.25 ms input 102.70    ms, avg 1.63 ms, output 137.38    ms, avg 2.18 ms 
Batch_size 10, 52    times, infer 5483.60   ms, avg 105.45 ms, 10.55 ms input 52.22     ms, avg 1.00 ms, output 128.64    ms, avg 2.47 ms 
Batch_size 11, 62    times, infer 6062.89   ms, avg 97.79 ms, 8.89 ms input 106.91    ms, avg 1.72 ms, output 157.78    ms, avg 2.54 ms 
Batch_size 12, 43    times, infer 4975.39   ms, avg 115.71 ms, 9.64 ms input 110.93    ms, avg 2.58 ms, output 94.89     ms, avg 2.21 ms 
Batch_size 13, 38    times, infer 4901.44   ms, avg 128.99 ms, 9.92 ms input 54.73     ms, avg 1.44 ms, output 98.72     ms, avg 2.60 ms 
Batch_size 14, 51    times, infer 6101.48   ms, avg 119.64 ms, 8.55 ms input 56.55     ms, avg 1.11 ms, output 161.13    ms, avg 3.16 ms 
Batch_size 15, 27    times, infer 4318.34   ms, avg 159.94 ms, 10.66 ms input 28.25     ms, avg 1.05 ms, output 55.79     ms, avg 2.07 ms 
Batch_size 16, 44    times, infer 5520.75   ms, avg 125.47 ms, 7.84 ms input 46.37     ms, avg 1.05 ms, output 77.64     ms, avg 1.76 ms 
Batch_size 17, 23    times, infer 4297.07   ms, avg 186.83 ms, 10.99 ms input 44.59     ms, avg 1.94 ms, output 33.00     ms, avg 1.43 ms 
Batch_size 18, 41    times, infer 5652.99   ms, avg 137.88 ms, 7.66 ms input 128.47    ms, avg 3.13 ms, output 105.64    ms, avg 2.58 ms 
Batch_size 19, 26    times, infer 5182.33   ms, avg 199.32 ms, 10.49 ms input 19.59     ms, avg 0.75 ms, output 69.34     ms, avg 2.67 ms 
